title,time,init,link,paraContainKeyword
"Nhận định chứng khoán ngày 13/4: ""Dự phòng áp lực bán tái diễn""",12/04/2018 22:58,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 13/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-ngay-13-4-du-phong-ap-luc-ban-tai-dien-20180412211347079.htm,"""Sau khi đã giảm mạnh hôm 11/4, VN-Index hồi phục và tăng nhẹ trong phiên hôm 12/4. Tuy nhiên, thanh khoản sụt giảm khá mạnh, cho thấy sự thận trọng và tính chất thăm dò của dòng tiền giải ngân, nhất là khi áp lực bán ở nhóm cổ phiếu vốn hóa lớn dẫn dắt chỉ số trong những phiên trước là khá mạnh."
"Giới taxi truyền thống đề nghị có ngay quyết định mới thắt chặt Uber, Grab",16/03/2018 18:11,Hiệp hội taxi 3 miền kiến nghị Thủ tướng sớm có chỉ đạo Bộ Giao thông Vận tải phải có ngay quy định tạm thời thay quyết định 24...,http://vneconomy.vn/gioi-taxi-truyen-thong-de-nghi-co-ngay-quyet-dinh-moi-that-chat-uber-grab-20180316102517483.htm,"""Với số 25% doanh thu phía Uber và Grab được hưởng thì mỗi năm dòng tiền trong nước chảy ra nước ngoài cho Uber, Grab khoảng 5.400 tỷ đồng, có nghĩa mỗi ngày Uber, GRab đã chuyển ra nước ngoài khoảng 15 tỷ đồng"", 3 Hiệp hội nêu."
"Khó vay vốn, nhiều nông dân kêu phải vay tín dụng đen để sản xuất",09/04/2018 21:34,"Thông tin thiếu minh bạch, rõ ràng khiến nông dân khó tiếp cận nguồn vốn ngân hàng...",http://vneconomy.vn/kho-vay-von-nhieu-nong-dan-keu-phai-vay-tin-dung-den-de-san-xuat-20180409181600297.htm,"Riêng về tài sản thế chấp, ông Đào Minh Tú cho biết theo  Thông tư 59 mới ban hành thì tài sản thế chấp không phải điều kiện duy nhất để  được cho vay mà phải trên cơ sở quản lý dòng tiền. "
Nan giải cuộc chiến thanh toán “tiền bẩn”,20/03/2018 10:06,"Ngân hàng và cổng thanh toán ngân hàng hiện nay trở thành con đường chuyển tiền nhanh, hiệu quả nhất cho các hành vi phi pháp của tội phạm công nghệ cao...",http://vneconomy.vn/nan-giai-cuoc-chien-thanh-toan-tien-ban-20180320010409949.htm,"""Ngân hàng không thể lân la dò hỏi khách hàng lý do thực tế chuyển tiền là gì vì có thể bị khách hàng tẩy chay và mất mối làm ăn. Nhưng đừng nghĩ vậy mà chối bỏ trách nhiệm của mình, khi muốn, ngân hàng và công an có thể minh bạch dòng tiền đáng ngờ"", ông Trương Thanh Đức nói."
"Nhận định chứng khoán ngày 5/4: ""Áp lực bán vẫn mạnh""",04/04/2018 21:09,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 5/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-ngay-5-4-ap-luc-ban-van-manh-20180404205828322.htm,"""Trong giai đoạn dòng tiền luân chuyển giữa các nhóm ngành sẽ tiếp tục mang tới nhiều cơ hội giao dịch ngắn hạn."
Blog chứng khoán: Dòng tiền nguội lạnh,05/04/2018 16:43,Tâm lý được giải tỏa nhưng thị trường vẫn không có dòng tiền mạnh để chớp cơ hội bùng nổ...,http://vneconomy.vn/blog-chung-khoan-dong-tien-nguoi-lanh-20180405163706421.htm,Hôm nay thêm một dấu hiệu nữa rằng thị trường đang vận động  trên cơ sở cung cầu tự nhiên. Tâm lý hào hứng (nếu có) đã không đi cùng sức mạnh  của dòng tiền và kết cục là một ngày lình xình.
"Nhận định chứng khoán ngày 6/4: ""Khả năng vượt mốc 1.200""",05/04/2018 23:20,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 6/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-ngay-6-4-kha-nang-vuot-moc-1200-20180405213258557.htm,"Tuy nhiên với việc lực cầu vẫn đang tương đối dồi dào, có thể thấy dòng tiền chưa rút khỏi thị trường."
Blog chứng khoán: Tích năng lượng để bứt phá,06/04/2018 17:08,"Cửa tăng đang rất sáng khi thị trường vẫn lầm lũi đi lên, dù chậm, nhưng lại không bị tác động nhiều từ bên ngoài...",http://vneconomy.vn/blog-chung-khoan-tich-nang-luong-de-but-pha-20180406165601957.htm,Điểm tích cực nhất là dòng tiền đã mạnh hơn và tập trung trở  lại vào blue-chips. Hiện tượng phân hóa ở blue-chips vẫn rõ nhưng áp lực kéo xuống  ở nhóm giảm không mạnh. Có thể thấy VN30 vẫn đang được nâng đáy lên chậm.
Sabeco và những món nợ cũ,20/03/2018 22:37,"Sabeco đã chính thức rũ bỏ chiếc áo ""ông lớn nhà nước"" song doanh nghiệp này vẫn còn nhiều ""món nợ cũ"" từ thời ấy đến nay chưa thể giải quyết dứt điểm. ...",http://vneconomy.vn/sabeco-va-nhung-mon-no-cu-20180319162859602.htm,"""Cushman & Wakefield xác định giá trị doanh nghiệp trên cơ sở kết quả thẩm định theo phương pháp so sánh và phương pháp thặng dư, nhưng trong phương pháp so sánh, việc điều chỉnh các yếu tố khác biệt không trên cơ sở chứng cứ thị trường là không đúng hướng dẫn của Tiêu chuẩn thẩm định giá Việt Nam số 08 ""Cách tiếp cận từ thị trường"" ban hành theo Thông tư 126/2015/TT-BTC ngày 20/8/2015; đối với phương pháp thặng dư, đã sử dụng tỷ suất chiết khấu để quy dòng tiền trong tương lai về giá trị hiện tại là 13,69%, trong khi tại thời điểm năm 2016 trên địa bàn Tp.HCM, tỉ suất chiết khấu do Hội đồng thẩm định giá đất thành phố và các đơn vị tư vấn thẩm định giá xác định cho các dự án bất động sản là 11%, làm giảm đáng kể giá trị doanh nghiệp làm cơ sở xác định giá khởi điểm"", Kiểm toán Nhà nước cho hay."
"Mất nửa tài sản, nữ tỷ phú Hồng Kông vẫn muốn mua tòa tháp siêu đắt",21/03/2018 17:26,"Đây là thương vụ ""mua sắm"" lớn nhất từ trước đến nay của nữ tỷ phú từng giàu nhất Hồng Kông...",http://vneconomy.vn/mat-nua-tai-san-nu-ty-phu-hong-kong-van-muon-mua-toa-thap-sieu-dat-20180321140319336.htm,"Hồi tháng 2, China Energy rút vốn khỏi C.H.M.T trong bối cảnh  chính phủ hạn chế các thương vụ thâu tóm để ngăn dòng tiền chảy ra nước ngoài.  Ngay sau đó, bà Chu và trùm địa ốc Hui Wing Mau – còn được gọi là Xu Rongmao ở  quê hương Phúc Kiến, Trung Quốc, đã nhảy vào thương vụ này cùng với tỷ phú Li  Ka-shing."
