title,time,init,link,paraContainKeyword
"Mỗi ngày, Việt Nam chi 2,15 triệu USD nhập thuốc trừ sâu",07/04/2018 18:45,"Nguồn nhập khẩu thuốc trừ sâu và nguyên liệu chủ yếu là từ Trung Quốc, chiếm tới 54,2% tổng giá trị của mặt hàng này...",http://vneconomy.vn/moi-ngay-viet-nam-chi-215-trieu-usd-nhap-thuoc-tru-sau-20180407133043576.htm,"Nhập khẩu thuốc trừ sâu tại thị trường Anh, Malaysia và Ấn Độ  cũng tăng mạnh trong những tháng đầu năm, mức tăng lần lượt là 80%, 51,5% và  26,3% so với cùng kỳ năm ngoái."
"Nhận định chứng khoán ngày 13/4: ""Dự phòng áp lực bán tái diễn""",12/04/2018 22:58,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 13/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-ngay-13-4-du-phong-ap-luc-ban-tai-dien-20180412211347079.htm,"""Dòng tiền chốt lời hoạt động tích cực, trong khi áp lực bán đã được giải tỏa sau hai phiên điều chỉnh giúp chỉ số VN-Index hồi phục trở lại trong phiên hôm nay. Nhiều khả năng xu hướng hồi phục, đi kèm diễn biến phân hóa của thị trường, sẽ còn tiếp diễn trong các phiên sắp tới""."
ROS: Lợi nhuận sau kiểm toán năm 2017 vượt 44% kế hoạch,13/04/2018 10:08,"Kết quả này có được là nhờ công ty mở rộng quy mô, ký được nhiều hợp đồng thi công giá trị lớn, đồng thời tái cơ cấu các khoản đầu tư...",http://vneconomy.vn/ros-loi-nhuan-sau-kiem-toan-nam-2017-vuot-44-ke-hoach-20180413100628214.htm,"FLC Faros là doanh nghiệp điển hình của xu hướng kết hợp giữa vai trò chủ đầu tư với nhà thầu xây dựng tại Việt Nam. Công ty hiện là chủ đầu tư của 13 dự án/60 dự án thi công, nhiều bậc nhất thị trường."
"Vingroup ""chào sân"" dược phẩm với thương hiệu Vinfa",09/04/2018 11:20,"Dự kiến, Trung tâm Nghiên cứu sản xuất thuốc Vinfa sẽ được khởi công trong quý 3/2018...",http://vneconomy.vn/vingroup-chao-san-duoc-pham-voi-thuong-hieu-vinfa-20180409112020039.htm,"Mục tiêu của Trung tâm Nghiên cứu sản xuất thuốc Vinfa là sản xuất và kinh doanh các bài thuốc đông y và các loại thuốc tây y chất lượng tốt, phục vụ thị trường trong nước, hướng tới xuất khẩu. Trong đó, Vinfa sẽ đầu tư mạnh cho việc nghiên cứu, phát triển và bảo tồn các bài thuốc có nguồn gốc từ dược liệu quý Việt Nam, tiến tới xuất khẩu tinh hoa y học cổ truyền ra thị trường thế giới."
Việt Nam luôn chào đón dòng vốn ngoại,12/04/2018 11:02,"Tính đến ngày 20/3/2018, Hàn Quốc đang là nhà đầu tư lớn nhất tại Việt Nam với tổng số vốn đầu tư là 59 tỷ USD...",http://vneconomy.vn/viet-nam-luon-chao-don-dong-von-ngoai-20180412100326857.htm,"Năm 2017, thị trường chứng khoán tiếp tục là điểm đến hấp dẫn thu hút dòng vốn  đầu tư gián tiếp nước ngoài. Tổng giá trị danh mục đầu tư của nhà đầu tư nước  ngoài cuối năm 2017 đạt 32,9 tỷ USD (tăng trên 90% so với cuối năm 2016). "
"Giá vàng tăng, USD tự do và ngân hàng ổn định",11/04/2018 11:16,"Sáng nay, giá vàng miếng SJC bán lẻ chỉ cao hơn giá vàng quốc tế quy đổi từ 50.000-100.000 đồng/lượng...",http://vneconomy.vn/gia-vang-tang-usd-tu-do-va-ngan-hang-on-dinh-20180411105141528.htm,"Lúc hơn 10h trưa nay, Tập đoàn DOJI niêm yết giá vàng SJC cho thị trường Hà Nội ở mức 36,78 triệu đồng/lượng (mua vào) và 36,87 triệu đồng/lượng (bán ra). So với cuối giờ chiều qua, giá vàng SJC tại doanh nghiệp này hiện tăng 40.000 đồng/lượng ở giá mua và 50.000 đồng/lượng ở giá bán."
"Yêu cầu giữ lạm phát cơ bản ở mức 1,6 - 1,8%",31/03/2018 09:26,Dự báo trong 9 tháng còn lại của 2018 vẫn có nhiều yếu tố tác động giúp kiềm chế tốc độ tăng chỉ số giá tiêu dùng...,http://vneconomy.vn/yeu-cau-giu-lam-phat-co-ban-o-muc-16-18-20180331073816689.htm,"Dự báo  trong 9 tháng còn lại của năm 2018, qua phân tích, đánh giá bối cảnh trong nước  và thế giới cho thấy mặt bằng giá thị trường chịu tác động đan xen của các yếu  tố làm tăng áp lực và các yếu tố kiềm chế tốc độ tăng giá."
"Năng suất lao động thấp, Petro Vietnam muốn cải tổ toàn diện",17/04/2018 15:06,"Năng suất lao động bình quân theo doanh thu của Petro Vietnam là 500.000 - 600.000 USD/người/năm, bằng 50% so với tập đoàn Petronas, 10-20% PTT...",http://vneconomy.vn/nang-suat-lao-dong-thap-petro-vietnam-muon-cai-to-toan-dien-20180416175139994.htm,"Hàng loạt ban được sáp nhập như: Ban kế toán và kiểm toán sáp nhập với Ban tài chính; Ban Quản lý đấu thầu sáp nhập với ban thương mại thị trường, Ban hợp tác quốc tế sáp nhập với văn phòng; Ban An toàn sức khoẻ môi trường sáp nhập với Khoa học và công nghệ, Ban thanh tra sáp nhập với Ban pháp chế; Ban xây dựng sáp nhập với Ban đầu tư phát triển…"
Kích hoạt dòng chảy vốn đầu tư gián tiếp,12/04/2018 11:25,"Từ ngày 16-20/4, Bộ trưởng Bộ Tài chính Đinh Tiến Dũng sẽ chủ trì hội nghị xúc tiến đầu tư tại Seoul, Hàn Quốc, nhằm kích hoạt dòng chảy vốn đầu tư gián tiếp từ Hàn Quốc vào Việt Nam mạnh hơn và hiệu quả hơn...",http://vneconomy.vn/kich-hoat-dong-chay-von-dau-tu-gian-tiep-20180412101330045.htm,"Bốn năm trở lại đây,  Bộ Tài chính đã tổ chức thành công các chương trình hội nghị xúc tiến đầu tư và  các sự kiện gặp gỡ doanh nghiệp bên lề tại các thị trường trọng điểm như: Hoa  Kỳ, Nhật Bản. "
"Nhận định chứng khoán tuần 9-13/4: ""Đang tiến sâu vào vùng 1200 - 1250 điểm""",07/04/2018 18:36,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường tuần 9-13/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-tuan-9-13-4-dang-tien-sau-vao-vung-1200-1250-diem-20180407130845126.htm,"""Sự luân phiên tăng điểm giữa các cổ phiếu vốn hóa lớn đang giúp giữ nhịp thị trường. Trong tuần tới, dòng tiền dự kiến sẽ phân hóa và tập trung ở nhóm cổ phiếu có thông tin tích cực từ báo cáo kết quả kinh doanh quý 1 và mùa đại hội cổ đông""."
