stock_id,last_close,book_value,highest_52w,lowest_52w,pe,eps,roa,roe,beta,avg_vol_13w,on_bal_vol_ratio,volume,cap_market
CLX,10.1,10.2,12.5,9.3,17.5,577,3%,6%,0,2536,0.01%,86600000,875
CMC,5.6,13.0,12.3,5,17,330,1%,3%,0.76,315,0.01%,4561050,26
CMF,121.1,31.0,124.6,50.2,24.5,4942,7%,16%,0,27,0%,8100000,981
CMG,27.8,18.9,49.0,13.2,10.8,2570,7%,17%,0.04,288515,1.27%,67242694,1872
CMI,1.2,1.0,6.6,1.2,0.2,7286,44%,741%,0.91,27924,0.41%,16000000,18
CMK,10.4,13.8,10.4,10.4,6.7,1548,1%,10%,0,0,0%,1432578,15
CMN,46.8,26.2,51.9,23.3,12.8,3657,9%,14%,0,2942,0.13%,4800000,225
CMP,9.6,10.8,9.6,9.6,14.3,669,4%,6%,0,0,0%,32405415,311
CMS,4.1,13.5,6.1,3.6,107.9,38,0%,0%,0.10,13535,0.18%,17200000,71
CMT,9.5,19.6,13.7,8.5,9.1,1045,3%,5%,0.18,1480,0.04%,7283370,76
CMV,23,14.4,23.5,18.5,12.6,1827,4%,14%,0.06,149,0%,12103912,278
CMW,11.2,10.1,11,9.4,16.4,681,3%,7%,0,636,0.01%,15534900,174
CMX,5.0,4.3,7.1,3.2,2.8,1757,3%,41%,0.89,6474,0.11%,13221234,65
CNC,41.1,0,41.5,29.3,0,0,19%,25%,0,249,0.01%,9470357,389
CNG,29.5,17.8,31.5,25.9,7.4,4001,15%,23%,0.40,51861,0.46%,27000000,796
CNH,14.5,10.1,17.7,9,198.6,73,1%,1%,0,63,0%,24539049,356
CNN,16.3,0,20.5,10.2,0,0,3%,13%,0,271,0.01%,6800000,111
CNT,2.2,0,4.2,1.2,0,0,34%,106%,1.62,1886,0.04%,9915069,22
COM,56,33.9,75.4,46.1,8.1,6909,18%,20%,0.34,578,0.01%,13752368,791
CPC,36.3,20.5,41.5,23.5,11.8,3081,8%,15%,0.01,956,0.05%,4081450,156
CPH,8.3,11.6,8.3,8.3,3.5,2345,9%,18%,0,0,0%,4400000,37
CPI,1.4,0.8,5.9,1.1,50,28,2%,4%,0,66,0%,36505000,51
CQT,2.9,4.5,7.9,2.3,2.6,1116,3%,25%,0,187,0%,25000000,73
CSC,23.4,23.8,34.2,21.9,3.7,6343,20%,50%,0.01,24360,0.52%,10000000,234
CSM,14.3,11.9,19.5,12.3,27,530,1%,4%,0.51,345443,1.16%,103625925,1482
CER,10.7,0,10.7,10.7,0,0,1%,7%,0,0,0%,1335000,14
CET,4,12.1,16.9,3.6,13.1,305,4%,5%,0.81,26675,0.92%,6050000,24
CFC,10.9,0,20.8,5.5,8,1369,0%,0%,0,119,0.01%,2443680,27
CGP,9.6,2.7,9.9,6.7,0,0,5%,53%,0,4979,0.10%,10735708,103
CGV,2.3,0,14.5,1.8,0,0,7%,8%,0,2047,0.05%,9499956,22
CH5,30,0,30,30,0,0,6%,10%,0,0,0%,3732450,112
CHC,8,0,9.9,8,0,0,6%,20%,0,0,0%,2720000,22
CHP,24.4,14.9,28.4,20.2,7.5,3257,13%,22%,0.09,85139,0.26%,125999511,3074
CHS,9.6,11.0,15.5,7.9,11.8,812,5%,7%,0,622,0.01%,28400000,273
CI5,11.7,0,16.5,9,0,0,3%,17%,0,471,0.04%,4500000,32
CIA,39,0,68.2,33.6,0,0,0%,0%,0.45,87238,2.31%,8000000,312
CID,2.2,4.2,20.5,1.9,0,0,9%,25%,0.09,150,0.03%,1082000,2
CIG,2.5,6.6,3.3,1.9,25.3,99,0%,1%,0.58,22851,0.18%,31539947,79
CII,32.5,27.3,40.4,29.4,6,5396,8%,21%,0.58,1217459,2.61%,279806415,9080
CIP,10,0,11.6,10,0,0,1%,5%,0,27,0%,4545000,45
CJC,23.5,19.2,23.5,23.5,17.6,1338,2%,7%,0,0,0%,4000000,94
CKD,18.4,13.9,18.2,9.3,6.4,2888,10%,21%,0,1990,0.02%,31000000,570
CKH,3.7,0,7.1,3.7,0,0,2%,9%,0,9,0%,1037626,4
CKV,22,21.3,22,11.3,20.6,1070,2%,5%,0.26,453,0.02%,4050000,89
CLC,34,34.0,50.6,32,6.3,5405,14%,24%,0.12,8283,0.10%,19655668,668
CLG,3.5,12.1,7.3,3.6,12.1,291,1%,2%,0.55,11467,0.12%,21150000,74
CLH,15.7,13.1,16.9,12.8,5.6,2798,7%,18%,0.30,7280,0.16%,10000000,157
CLL,31.4,17.5,30.9,24.6,12.8,2446,14%,14%,0.06,5672,0.04%,34000000,1068
CLM,15.8,0,17.6,13.6,13.1,1209,2%,9%,0.43,48,0%,11000000,174
CLW,18,16.0,22.5,16.4,16.6,1083,3%,7%,0.72,3649,0.06%,13000000,234
BTT,37.9,24.1,40.5,25.1,13.3,2854,8%,12%,0.21,612,0.01%,13500000,512
BTU,6.8,11.3,10.6,4.2,12.1,562,10%,13%,0,14,0%,3600000,24
BTV,20.6,11.2,35,14.7,20.3,1017,5%,9%,0,253,0%,25000000,515
BTW,15,15.7,23.3,13.2,52.1,288,6%,9%,0.39,1119,0.03%,9360000,140
BUD,13.6,0,19,10.5,0,0,0%,0%,0,4703,0.01%,0,0
BVG,1.7,6.7,2.3,0.8,0,0,2%,7%,0.29,16732,0.37%,9750948,17
BVH,106.6,19.9,107.9,49.5,47.7,2233,2%,12%,1.09,558835,0.96%,680471434,72538
BVN,16,0,16.1,6.0,0,0,3%,7%,0,8904,0.37%,5000000,80
BVS,20,22.9,21.9,16.3,12.3,1620,6%,7%,0.76,47061,0.20%,72223837,1445
BWA,12.6,0,12.6,4.3,0,0,4%,5%,0,12,0%,2700000,34
BWE,24.6,22.8,28.5,16.7,17.9,1373,2%,6%,1.09,320687,0.89%,150000000,3690
BWS,26.3,0,34.4,15.6,0,0,0%,0%,0,2779,0.01%,60000000,1578
BXH,14.9,11.6,27.2,10.5,23.1,645,3%,6%,0.16,1364,0.09%,4919665,45
C12,14,16.5,16,9,25.1,558,2%,18%,0,1248,0.05%,4850000,68
C21,24.7,26.7,26.5,15.9,6.9,3568,17%,26%,0.01,28575,0.34%,19619917,478
C32,35.9,32.1,43.4,31.5,5.4,6655,12%,21%,0.49,121509,1.95%,13663992,491
C36,13.7,0,13.7,13.7,0,0,1%,6%,0,0,0%,1123500,15
C47,14.3,17.6,23.5,9.9,11.3,1271,1%,7%,0.91,97936,1.29%,17020130,243
C69,5.3,10.8,16.0,4.4,5.6,940,3%,7%,0.03,81274,3.37%,5000000,27
C71,10.5,12.5,11.5,7.2,14.7,713,1%,12%,0,466,0.02%,5000000,52
C92,10.5,12.1,13.2,6,85.4,123,0%,1%,0.72,56,0%,5312920,56
CAD,0.8,6.5,1.4,0.4,1.5,520,1%,8%,0.32,992,0.02%,8799927,7
CAG,42.4,0,47.1,11,0,0,0%,0%,0.87,105,0%,13800000,585
CAN,28,23.5,30,19.6,28.6,980,3%,5%,0.35,1445,0.06%,5000000,140
CAP,33.4,13.4,39.5,28.2,12.6,2648,11%,20%,0.03,7297,0.32%,4760088,159
ALV,6.8,17.2,18.4,3.2,2.1,3182,10%,23%,0.70,101557,6.58%,3157936,21
