stock_id,event_type,exec_date
HSG,Cash,29/05/2018
EBS,Cash,10/05/2018
VSH,Cash,29/06/2018
GVT,Cash,08/05/2018
CTB,Cash,27/04/2018
DNR,Cash,07/05/2018
IDN,Cash,27/04/2018
APL,Cash,23/04/2018
VHD,Cash,27/04/2018
CNC,Cash,26/04/2018
XHC,Cash,20/04/2018
CLL,Cash,26/04/2018
MCT,Cash,18/04/2018
CMF,Cash,31/05/2018
SIC,Cash,19/04/2018
BAX,Cash,17/04/2018
KBE,Cash,27/04/2018
KGU,Cash,03/05/2018
ND2,Cash,20/04/2018
RAL,Cash,27/04/2018
THS,Cash,24/04/2018
BWE,Cash,16/04/2018
GHC,Cash,18/04/2018
VIP,Cash,04/05/2018
CZC,Cash,20/04/2018
APG,Cash,20/04/2018
HPT,Cash,11/05/2018
MSC,Cash,23/04/2018
PGC,Cash,26/06/2018
SHI,Cash,13/04/2018
CCI,Cash,17/05/2018
HTG,Cash,07/05/2018
VDP,Cash,10/05/2018
ANV,Cash,30/05/2018
DT4,Cash,15/08/2018
RCL,Cash,15/05/2018
BDB,Cash,24/04/2018
REE,Cash,27/04/2018
ADC,Cash,27/04/2018
VMC,Cash,16/04/2018
HAX,Cash,18/04/2018
HTP,Cash,26/04/2018
PCC,Cash,16/04/2018
SDK,Cash,27/04/2018
SD5,Cash,24/04/2018
TVT,Cash,23/05/2018
C21,Cash,18/04/2018
DBT,Cash,02/07/2018
IME,Cash,02/05/2018
LBM,Cash,18/04/2018
LHC,Cash,20/04/2018
VGG,Cash,31/05/2018
DP3,Cash,04/05/2018
HBD,Cash,26/04/2018
PTG,Cash,18/04/2018
DBC,Cash,13/06/2018
HSG,Cash,16/04/2018
ITC,Cash,20/04/2018
NTR,Cash,30/07/2018
ADP,Cash,19/04/2018
CAV,Cash,20/04/2018
KHS,Cash,18/04/2018
MDG,Cash,24/04/2018
VC6,Cash,22/05/2018
GMC,Cash,19/04/2018
PPP,Cash,17/04/2018
SVI,Cash,14/09/2018
TJC,Cash,26/04/2018
ACE,Cash,24/05/2018
SPA,Cash,30/07/2018
VNT,Cash,04/05/2018
CHC,Cash,10/05/2018
CNG,Cash,17/05/2018
DTV,Cash,07/05/2018
VBC,Split,19/01/2911
VTO,Cash,04/02/2019
