title,time
Thông báo chào bán cạnh tranh cổ phần của CTCP Du lịch Đắk Lắk do SCIC sở hữu,16/04/2018
Kết quả chào bán cạnh tranh cổ phần của SCIC tại CTCP In Khoa học kỹ thuật,10/04/2018
SCIC xin thông báo kết quả đăng ký thỏa thuận mua cổ phần của SCIC tại Công ty cổ phần Nhựa Bình Minh (BMP),09/04/2018
Thông báo bán đấu giá cổ phần của Tổng Công ty Đầu tư và Kinh doanh vốn nhà nước tại Công ty cổ phần Du lịch và Xúc tiến thương mại,02/04/2018
Bổ sung Hồ sơ công bố thông tin bán đấu giá cổ phẩn của SCIC tại Công ty Cổ phần Giống Vật tư Lai Châu,30/03/2018
Thông báo bán thỏa thuận cổ phần của SCIC tại Ngân hàng TMCP Hàng Hải Việt Nam,27/03/2018
Thông báo bán thỏa thuận cổ phần của SCIC tại CTCP Nhựa Bình Minh,22/03/2018
Thông báo kết quả đăng ký tham dự chào bán cạnh tranh mua cổ phần của SCIC tại CTCP In Khoa học kỹ thuật,19/03/2018
Thông báo bán đấu giá cổ phần của SCIC tại CTCP Giống vật tư Lai Châu,09/03/2018
Thông báo Giá đặt mua cổ phần BMP,08/03/2018
Thông báo kết quả đăng ký tham gia chào bán cạnh tranh cổ phần của SCIC tại Công ty Cổ phần Nhựa Bình Minh,08/03/2018
Thông báo chào bán cạnh tranh cổ phần của SCIC tại CTCP In Khoa học kỹ thuật,07/03/2018
Công bố thông tin về việc nhà đầu tư đăng ký mua cổ phần của SCIC tại CTCP Nhựa Bình Minh,02/03/2018
Thông báo bán đấu giá cả lô cổ phần của SCIC tại Ngân hàng TMCP Hàng Hải Việt Nam,28/02/2018
Thông báo : Giá khởi điểm chào bán cổ phần Công ty cổ phần Nhựa Bình Minh,28/02/2018
THÔNG BÁO  CHÀO BÁN CẠNH TRANH CỔ PHẦN CỦA SCIC TẠI  CÔNG TY CỔ PHẦN NHỰA BÌNH MINH,12/02/2018
THÔNG BÁO BÁN THỎA THUẬN CỔ PHẦN CỦA SCIC  TẠI CTCP NÔNG SẢN THỰC PHẨM XUẤT KHẨU CẦN THƠ,12/02/2018
THÔNG BÁO ĐẤU GIÁ CẢ LÔ CỔ PHẦN CỦA SCIC TẠI CÔNG TY CỔ PHẦN NÔNG SẢN THỰC PHẨM XUẤT KHẨU CẦN THƠ,18/01/2018
THÔNG BÁO BÁN THỎA THUẬN LÔ CỔ PHẦN CỦA SCIC TẠI CÔNG TY CỔ PHẦN THƯƠNG MẠI DU LỊCH VÀ DỊCH VỤ TỔNG HỢP ĐIỆN BIÊN,02/01/2018
THÔNG BÁO BÁN THỎA THUẬN LÔ CỔ PHẦN CỦA SCIC TẠI CÔNG TY CỔ PHẦN GIỐNG VẬT TƯ LAI CHÂU,29/12/2017
