title,time,summary
"Lạm phát cơ bản tháng 4/2017 tăng 0,09%",,"(eFinance Online) - Theo Tổng cục Thống kê, lạm phát cơ bản tháng 4/2017 tăng 0,09% so với tháng trước và tăng 1,50% so với cùng kỳ năm trước."
"8 tháng năm 2017: Tổng trị giá XNK hàng hoá dự kiến đạt 269,13 tỷ USD",29/08/2017 - 13:29,"(eFinance Online) - Tổng cục Hải quan cho biết, trong tháng 8/2017, tổng trị giá xuất nhập khẩu hàng hoá của Việt Nam ước đạt 36 tỷ USD, tăng 2,6% so với tháng trước; trong đó tổng trị giá xuất khẩu ước đạt 18,2 tỷ USD, tăng 3% và tổng trị giá nhập khẩu ước đạt 17,8 tỷ USD, tăng 2,3%."
"GDP 6 tháng đầu năm 2017 tăng 5,73%",30/06/2017 - 11:05,
"Quý 1/2017: Tổng trị giá XNK hàng hoá dự kiến đạt 89,36 tỷ USD",30/03/2017 - 20:30,"(eFinance Online) - Trong tháng 3 năm 2017, tổng trị giá xuất nhập khẩu hàng hoá của Việt Nam ước đạt 33,7 tỷ USD, tăng 19,3% so với tháng trước; trong đó, tổng trị giá xuất khẩu ước đạt 16,3 tỷ USD, tăng 24,4% và tổng trị giá nhập khẩu ước đạt 17,4 tỷ USD, tăng 14,9%."
5.461 doanh nghiệp thành lập mới trong tháng 2,09/03/2017 - 14:42,"(eFinance Online) - Cục Quản lý đăng ký kinh doanh, Bộ Kế hoạch và Đầu tư cho biết trong tháng 02/2017, số doanh nghiệp được thành lập mới là 5.461 doanh nghiệp với số vốn đăng ký là 62.275 tỷ đồng, giảm 39,3% về số doanh nghiệp và giảm 31,0% về số vốn đăng ký so với tháng 01/2017."
"Hai tháng đầu năm, tổng trị giá XNK hàng hoá dự kiến đạt 54,73 tỷ USD",02/03/2017 - 16:02,"(eFinance Online) - Trong tháng 2/2017, tổng trị giá xuất nhập khẩu hàng hoá của Việt Nam ước đạt 27,2 tỷ USD, giảm 1,2% so với tháng trước; trong đó, tổng trị giá xuất khẩu ước đạt 13 tỷ USD, giảm 9,4% và tổng trị giá nhập khẩu ước đạt 14,2 tỷ USD, tăng 7,7%."
Hơn 110 nghìn doanh nghiệp thành lập mới trong năm 2016,27/12/2016 - 16:30,"(eFinance Online) - Bộ Kế hoạch và Đầu tư cho biết, trong năm 2016, cả nước có 110.100 doanh nghiệp thành lập mới với số vốn đăng ký là 891.094 tỷ đồng, tăng 16,2% về số lượng doanh nghiệp và tăng 48,1% về số vốn đăng ký so với cùng kỳ năm 2015. Đây là số doanh nghiệp tăng cao kỷ lục từ trước đến nay và là lần đầu tiên nước ta có trên 100 nghìn doanh nghiệp thành lập trong một năm."
"Năm 2016: Tổng kim ngạch XNK dự kiến đạt 349,2 tỷ USD",27/12/2016 - 14:14,"(eFinance Online) - Trong tháng 12/2016, tổng kim ngạch xuất nhập khẩu hàng hoá của Việt Nam ước đạt 32,3 tỷ USD, giảm 0,6% so với tháng trước; trong đó, tổng kim ngạch xuất khẩu ước đạt 16 tỷ USD, giảm 0,8% và tổng kim ngạch nhập khẩu ước đạt 16,3 tỷ USD, giảm 0,5%."
Bộ Tài chính và Tổng cục Thống kê tăng cường triển khai Luật Thống kê,14/12/2016 - 14:41,"(eFinance Online) - Ngày 14/12/2016, tại Hà Nội, Cục Tin học và Thống kê tài chính (Bộ Tài chính) đã tổ chức Hội nghị ""Tập huấn tăng cường triển khai Luật Thống kê và các văn bản hướng dẫn thi hành luật thống kê tại Bộ Tài chính""."
Việt Nam nằm trong nhóm các nước có tỷ lệ sử dụng thuốc lá cao nhất thế giới,06/12/2016 - 15:54,"(eFinance Online) - Chiều ngày 6/12, Hội Liên hiệp Phụ nữ Việt Nam phối hợp cùng Quỹ Phòng chống tác hại thuốc lá (Bộ Y tế) tổ chức họp báo giới thiệu chương trình truyền thông về tác hại của hút thuốc thụ động mang tên “"
"Chỉ số giá tiêu dùng (CPI) tháng 11/2016 tăng 0,48%",29/11/2016 - 16:29,"(eFinance Online) - Tổng cục Thống kê vừa cho biết, Chỉ số giá tiêu dùng (CPI) tháng 11/2016 tăng 0,48% so với tháng trước, trong đó nhóm giao thông tăng cao nhất với 1,63%."
Doanh nghiệp thành lập mới trong tháng 11 giảm,28/11/2016 - 15:39,"(eFinance Online) - Tổng cục Thống kê cho biết, trong tháng 11 năm 2016, số doanh nghiệp được thành lập mới là 9.918 doanh nghiệp, giảm 3,8% so với tháng 10."
"Thiên tai và ô nhiễm môi trường làm GDP giảm 0,6%/năm",21/11/2016 - 17:39,"(eFinance Online) - Theo Tiến sĩ Đặng Đức Anh, Trưởng ban Phân tích và Dự báo, Trung tâm Thông tin và dự báo KTXH Quốc gia (NCIF) nhận định, trung bình, giai đoạn 2016 -2020, thiên tai và ô nhiễm môi trường có thể làm giảm GDP khoảng 0,6%/năm."
"Quỹ Bình ổn giá xăng dầu còn gần 2,2 nghìn tỷ đồng",14/11/2016 - 08:56,"(eFinance Online) -Liên Bộ Tài chính-Công thương vừa công bố tổng hợp chi tiết về tình hình trích lập, sử dụng, số dư Quỹ Bình ổn giá (BOG) xăng dầu quý III-2016 của các thương nhân kinh doanh xăng dầu đầu mối. Đây là công bố thường xuyên nhằm tiếp tục thực hiện nguyên tắc công khai minh bạch trong điều hành giá xăng dầu theo quy định tại Nghị định số 83/2014/NĐ-CP của Chính phủ về kinh doanh xăng dầu."
Trung Quốc vẫn là thị trường nhập khẩu lớn nhất của Việt Nam,03/11/2016 - 14:30,"(eFinance Online) - Nhập khẩu từ châu Á chiếm 80% tổng kim ngạch nhập khẩu của cả nước. Trung Quốc vẫn là thị trường nhập khẩu lớn nhất, chiếm 29% và giảm 1,2% so với cùng kỳ."
"Tháng 10/2016: Kim ngạch xuất khẩu ước đạt 15,5 tỷ USD",03/11/2016 - 14:22,"(eFinance Online) - Theo Báo cáo của Bộ Công Thương, kim ngạch xuất khẩu tháng 10/2016 ước đạt 15,5 tỷ USD, tăng 0,5% so với tháng 9 và tăng 8,3% so với cùng kỳ năm 2015. Kim ngạch xuất khẩu 10 tháng đầu năm ước đạt 144,1 tỷ USD, tăng 7,2% so với cùng kỳ năm 2015."
Giá thép vẫn được giữ ổn định,03/11/2016 - 14:06,"(eFinance Online) - Hiện nay, nhu cầu xây dựng trong nước tốt nên lượng thép dài sản xuất và tiêu thụ vẫn giữ được mức sản lượng khá cao. Do khả năng đáp ứng được hoàn toàn nhu cầu về các sản phẩm thép xây dựng của các doanh nghiệp trong nước, nên giá bán sản phẩm thép vẫn được giữ ổn định."
Sản xuất công nghiệp duy trì đà tăng trưởng,03/11/2016 - 13:54,"(eFinance Online) - Báo cáo Tình hình hoạt động ngành công nghiệp và thương mại do Bộ Công Thương công bố hôm nay (3/11) cho thấy, tháng 10/2016, chỉ số sản xuất công nghiệp (IIP) tăng 6% so với tháng trước và tăng 7% so với cùng kỳ năm 2015."
"Tháng 10/2016: Tổng trị giá XNK dự kiến đạt 284,64 tỷ USD",28/10/2016 - 16:26,"(eFinance Online) - Tổng cục Hải quan cho biết, trong tháng 10 năm 2016, tổng trị giá xuất nhập khẩu (XNK) ước đạt 31,2 tỷ USD, tăng 4,1% so với tháng trước; trong đó, tổng trị giá XK ước đạt 15,5 tỷ USD, tăng 0,5% và tổng trị giá NK ước đạt 15,7 tỷ USD, tăng 7,9%."
"15 ngày đầu tháng 10, giá vàng trong nước ít biến động",27/10/2016 - 09:28,"(eFinance Online) - 15 ngày đầu tháng 10, giá vàng thế giới tiếp tục giảm từ 1.124,02 USD/ounce giảm xuống các mốc 1.120,10 USD/ounce (6/10), 1.100,22 USD/ounce (10/10) và 1.099,90 USD/ounce (16/10)."
Bù hụt thu do giảm lượng ô tô nhập khẩu rất khó khăn,,(eFinance Online) - Đó là một trong những yếu tố ảnh hưởng tới tình hình thu ngân sách nhà nước (NSNN) năm 2018 do Tổng cục Hải quan đưa ra.
Phí thẩm định cơ sở kinh doanh dịch vụ du lịch đạt chuẩn,20/04/2018 - 17:01,"(eFinance Online) -Ngày 30/3/2018, Bộ Tài chính ban hành Thông tư số 34/2018/TT-BTC quy định mức thu, chế độ thu, nộp và quản lý phí thẩm định công nhận hạng cơ sở lưu trú du lịch, cơ sở kinh doanh dịch vụ du lịch khác đạt tiêu chuẩn phục vụ khách du lịch."
Ký kết Hiệp định tránh đánh thuế hai lần giữa Việt Nam và Macao,17/04/2018 - 09:19,"(eFinance Online) - Sáng 16/04, tại thành phố Macao, thay mặt Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam và Chính quyền khu hành chính đặc biệt Macao (Cộng hòa nhân dân Trung Hoa), Thứ trưởng Bộ Tài chính Đỗ Hoàng Anh Tuấn cùng Cục trưởng Cục Kinh tế và Tài chính Macao Leong Vai Tac đã ký kết Hiệp định về tránh đánh thuế hai lần và ngăn ngừa việc trốn lậu thuế đối với các loại thuế đánh vào thu nhập."
Thu hút dòng vốn đầu tư từ Hàn Quốc vào Việt Nam,13/04/2018 - 16:34,"(eFinance Online) - Từ ngày 16-19/4/2018, Bộ trưởng Bộ Tài chính Đinh Tiến Dũng sẽ chủ trì Hội nghị xúc tiến đầu tư tại Seoul, Hàn Quốc. Cùng tham dự đoàn công tác có Chủ tịch UBCKNN, đại diện lãnh đạo một số đơn vị thuộc Bộ Tài chính, Ủy ban Chứng khoán Nhà nước, Sở GDCK Tp. Hồ Chí Minh, Sở GDCK Hà Nội, Trung tâm Lưu ký Chứng khoán cùng một số thành viên thị trường, doanh nghiệp niêm yết và một số doanh nghiệp đang và sẽ tiến hành cổ phần hóa."
"Quý I/2018: Tiền Giang thu thuế nội địa đạt trên 2,3 nghìn tỷ đồng",13/04/2018 - 15:55,"(eFinance Online) - Cục Thuế Tiền Giang vừa cho biết, trong 3 tháng đầu năm 2018, thu ngân sách từ thuế nội địa của Thuế Tiền Giang đạt trên 2.320 tỷ đồng, bằng 30,49% so với chỉ tiêu pháp lệnh được Bộ Tài chính giao năm 2018, tăng 8,26% so với cùng kỳ năm 2017."
Hướng dẫn cấp bù chênh lệch lãi suất cho vay nhà ở xã hội,12/04/2018 - 15:52,"(eFinance Online) - Thủ tướng Chính phủ Nguyễn Xuân Phúc vừa ký Quyết định 18/2018/QĐ-TTg, hướng dẫn cấp bù chênh lệch lãi suất thực hiện chính sách cho vay nhà ở xã hội theo Nghị định số 100/2015/NĐ-CP ngày 20/10/2015 của Chính phủ về phát triển và quản lý nhà ở xã hội."
Quý I/2018: Cục Thuế ĐắK LắK thu NSNN đạt gần 1.187 tỷ đồng,12/04/2018 - 09:34,"(eFinance Online) - Cục Thuế ĐắK LắK vừa cho biết, ước thu thuế và phí tháng 3/2018 đạt 324 tỷ đồng, đạt xấp xỉ 94% dự toán tháng. Lũy kế 03 tháng đạt xấp xỉ 1.187 tỷ đồng, bằng 107,9% dự toán Quý I, đạt 30% dự toán pháp lệnh, đạt 28,9% HĐND tỉnh giao, tăng 23,77% so với cùng kỳ 2017."
Cục Thuế Khánh Hòa: Thu NSNN tháng 3 ước thực hiện trên 1.100 tỷ đồng,12/04/2018 - 08:31,"(eFinance Online) - Cục Thuế Khánh Hòa cho biết, thu NSNN tháng 3 ước thực hiện 1.112,8 tỷ đồng, lũy kế ước thực hiện 3.550 tỷ đồng, đạt 25,1% dự toán pháp lệnh, bằng 27,9% dự toán HĐND tỉnh giao, bằng 112,2% so với cùng kỳ. Trong đó nếu loại trừ khoản thu tiền sử dụng đất tháng 3/2018 ước thực hiện 923,2 tỷ đồng, lũy kế ước thực hiện 3.205 tỷ đồng, đạt 24,7% dự toán pháp lệnh, đạt 27,5% dự toán HĐND tỉnh giao, bằng 109% so với cùng kỳ."
Bộ Tài chính yêu cầu xử lý rõ sai phạm trong thực thi công vụ,10/04/2018 - 13:30,"(eFinance Online) -Ngày 9/4/2018, Bộ Tài chính đã có các văn bản gửi đồng chí Tổng cục trưởng Tổng cục Thuế và Tổng cục trưởng Tổng cục Hải quan yêu cầu xử lý vấn đề báo đưa tin liên quan đến những sai phạm trong thực thi công vụ của cán bộ thuế, hải quan và những phản ánh liên quan đến những quy định gây khó khăn cho DN trong quá trình hoạt động."
