title,time,intro,link
Quỹ ngoại mua cổ phiếu Techcombank với giá gấp đôi Vietcombank và VPBank,2018/04/23,Techcombank dự kiến thu về 922 triệu USD trong thương vụ IPO diễn ra trước khi niêm yết cổ phiếu trên HOSE.,http://theleader.vn/quy-ngoai-mua-co-phieu-techcombank-voi-gia-gap-doi-vietcombank-va-vpbank-20180423194712654.htm
Giá vàng hôm nay 25/4: Áp lực chốt lời nới lỏng,2018/04/25,Chỉ số đồng USD yếu hơn và bán tháo cổ phiếu đang giúp giá vàng giảm áp lực chốt lời từ đầu tuần.,http://theleader.vn/gia-vang-hom-nay-254-ap-luc-chot-loi-noi-long-20180425110029426.htm
Chứng khoán ngày 17/4: VIC và nhóm ngân hàng kịp thời hỗ trợ,2018/04/17,"Sự quay lại sắc xanh nhanh chóng của VIC (+1,01%) và các cổ phiếu ngành ngân hàng đã góp phần rất lớn đến thành tích của VN-Index hôm nay, tương ứng với lần lượt 1,26 điểm và 6,34 điểm ảnh hưởng.",http://theleader.vn/chung-khoan-ngay-174-vic-va-nhom-ngan-hang-kip-thoi-ho-tro-20180417173507263.htm
"Giá vàng hôm nay 19/4: Tăng mạnh khi giá dầu cao nhất 3,5 năm",2018/04/19,"Giá dầu thô Nymex được đẩy lên mức cao nhất trong vòng 3,5 năm qua, trên mức 68 USD/thùng, điều này đã giúp giá vàng tăng mạnh.",http://theleader.vn/gia-vang-hom-nay-194-tang-manh-khi-gia-dau-cao-nhat-35-nam-20180419091615846.htm
Chứng khoán ngày 19/4: VN-Index rớt thảm trong phiên chào sàn của TPBank,2018/04/19,"TPB hôm nay lên sàn trong bối cảnh các cổ phiếu cùng ngành điều chỉnh mạnh, VN-Index giảm gần 50 điểm.",http://theleader.vn/chung-khoan-ngay-194-vn-index-rot-tham-trong-phien-chao-san-cua-tpbank-20180419163250086.htm
Chứng khoán ngày 20/4: Sự trở lại của các trụ lớn,2018/04/20,"Trong top 20 mã chứng khoán có giá trị vốn hóa lớn nhất sàn HOSE có tới 17 mã tăng giá vào lúc đóng cửa, trong đó có tới 12 mã tăng trên 2%.",http://theleader.vn/chung-khoan-ngay-204-su-tro-lai-cua-cac-tru-lon-20180420172738684.htm
Chứng khoán ngày 24/4: VIC và GAS kết hợp cứu một phiên giảm điểm,2018/04/24,,http://theleader.vn/chung-khoan-ngay-244-vic-va-gas-ket-hop-cuu-mot-phien-giam-diem-20180424170524592.htm
Chứng khoán lao dốc nhà đầu tư lo ngại,2018/04/26,,http://theleader.vn/chung-khoan-lao-doc-nha-dau-tu-lo-ngai-20180426021333967.htm
"Vụ lừa đảo tiền ảo 15.000 tỷ: ""Dân ta còn muốn làm giàu sau 1 đêm""",2018/04/10,"Ông Trần Anh Dũng - CEO MOG cho rằng, với tâm lý thích làm giàu nhanh, cho dù là tham gia lĩnh vực gì, nhà đầu tư cũng rất dễ bị lừa đảo.",http://theleader.vn/vu-lua-dao-tien-ao-15000-ty-dan-ta-con-muon-lam-giau-sau-1-dem-20180410162639064.htm
"Vinhomes hút 1,3 tỷ USD từ quỹ đầu tư ngoại trước thềm niêm yết",2018/04/16,Thoả thuận về việc mua bán cổ phần giữa Vinhomes với GIC có hiệu lực vào ngày 12/4/2018.,http://theleader.vn/vinhomes-hut-13-ty-usd-tu-quy-dau-tu-ngoai-truoc-them-niem-yet-20180416235421538.htm
