title,time,intro
VPH được niêm yết bổ sung 33 triệu cổ phiếu,17:12 | 20/04/2018,(TBTCO) - Sở Giao dịch chứng khoán TP. Hồ Chí Minh (HSX) vừa ban hành quyết định chấp thuận cho Công ty CP Vạn Phát Hưng (mã Ck: VPH) được niêm yết bổ sung 12 triệu cổ phiếu trên HSX.
"Bắt đáy thành công, thị trường phục hồi cực mạnh",16:52 | 20/04/2018,(TBTCO) - Thị trường ngày cuối tuần đã đưa nhà đầu tư từ sự lo lắng sang sự hào hứng cực lớn. VN-Index biến động trong phiên tới gần 42 điểm và thị trường đảo chiều chóng mặt.
THA lãi ròng 4.898 tỷ đồng,14:54 | 20/04/2018,"(TBTCO) - Công ty CP ô tô Trường Hải (mã Ck: THA) vừa tổ chức thành công ĐHCĐ thường niên 2018 với nhiều nội dung được thông qua, trong đó đáng chú ý là kết quả kinh doanh năm 2017 với doanh thu 55.268 tỷ đồng; lợi nhuận sau thuế 4.898 tỷ đồng; nộp ngân sách nhà nước (NSNN) 14.972 tỷ đồng."
"Phái sinh: Đà bán có thể vẫn còn, nhưng sẽ sớm phục hồi",14:46 | 20/04/2018,"(TBTCO) - Chỉ số VN30 có phiên giảm điểm rất mạnh xuống mốc 1.066,09 điểm, giảm 49,51 điểm. Tuy nhiên, khối lượng gia tăng tích cực trở lại, tăng mạnh 63,95% so với phiên trước. Đà bán quá vẫn có thể vẫn còn vào phiên kế tiếp, tuy vậy chỉ số nhiều khả năng sẽ sớm phục hồi tăng trở lại."
SSI: Quý I/2018 lãi gần 500 tỷ đồng,14:39 | 20/04/2018,"(TBTCO) - Công ty CP Chứng khoán Sài Gòn (mã Ck: SSI) công bố kết quả kinh doanh quý I/2018 với doanh thu và lợi nhuận trước thuế tăng trưởng lần lượt 95% và 46% (so với cùng kỳ năm 2017), đạt 1.072 tỷ đồng và 479,2 tỷ đồng. Trong đó, lợi nhuận trước thuế hợp nhất ước có thể lên đến 500 tỷ đồng."
Thị trường có thêm một công ty chứng khoán 100% vốn Hàn Quốc,14:33 | 20/04/2018,"(TBTCO) - Trong khuôn khổ Chương trình Xúc tiến đầu tư tại Hàn Quốc, chiều ngày 19/4, Chủ tịch Ủy ban Chứng khoán Nhà nước (UBCKNN) Trần Văn Dũng đã đến thăm Tập đoàn NH Investment & Securities và trao Giấy phép hoạt động cho Công ty TNHH Chứng khoán NH Việt Nam."
Ủy ban Chứng khoán Nhà nước làm việc với Tập đoàn Shinhan Bank,09:11 | 20/04/2018,"(TBTCO) - Trong khuôn khổ chuyến thăm và làm việc tại Hàn Quốc của Bộ trưởng Bộ Tài chính Đinh Tiến Dũng, sáng ngày 19/4/2018, Đoàn công tác Ủy ban Chứng khoán Nhà nước (UBCKNN) do Chủ tịch Trần Văn Dũng dẫn đầu đã đến thăm và làm việc tại trụ sở Tập đoàn Shinhan Bank (Shinhan Bank)."
Công ty Phân lân Văn Điển bị phạt 70 triệu đồng,08:06 | 20/04/2018,(TBTCO) - Thanh tra Ủy ban Chứng khoán Nhà nước vừa ban hành Quyết định số 97/QĐ-XPVPHC về việc xử phạt vi phạm hành chính đối với Công ty cổ phần Phân lân nung chảy Văn Điển (địa chỉ: Đường Phan Trọng Tuệ - xã Tam Hiệp - Huyện Thanh Trì- Hà Nội).
DGW ước tính lợi nhuận quý I tăng 127% so cùng kỳ,08:00 | 20/04/2018,(TBTCO) - Công ty cổ phần Thế Giới Số (Mã Ck: DGW) vừa công bố ước kết quả kinh doanh hợp nhất quý I/2018.
DAG đặt mục tiêu doanh thu 2018 đạt 2 nghìn tỷ đồng,07:56 | 20/04/2018,"(TBTCO) - Ngày 19/4, tại Hà Nội, Công ty cổ phần tập đoàn Nhựa Đông Á (mã DAG) đã tổ chức họp đại hội cổ đông thường niên năm 2018."
