title,time,intro,link
ĐHĐCĐ Eximbank: Cổ đông 85 tuổi hỏi trách nhiệm lãnh đạo Eximbank ở đâu khi để nội bộ rút tiền?,2018/04/27,,http://vietnamfinance.vn/dhdcd-eximbank-co-dong-85-tuoi-hoi-trach-nhiem-lanh-dao-eximbank-o-dau-khi-de-noi-bo-rut-tien-20180427102951094.htm
Agribank tuyên bố chỉ có 12 khách hàng mất tiền chứ không phải 400 thẻ ATM bị 'hack',2018/04/27,,http://vietnamfinance.vn/agribank-tuyen-bo-chi-co-12-khach-hang-mat-tien-chu-khong-phai-400-the-atm-bi-hack-20180427182754166.htm
Vietcombank sắp phát hành riêng lẻ cho 10 nhà đầu tư nước ngoài,2018/04/27,,http://vietnamfinance.vn/vietcombank-sap-phat-hanh-rieng-le-cho-10-nha-dau-tu-nuoc-ngoai-20180427180830281.htm
Agribank: 'Nếu nguyên nhân mất tiền không do lỗi của khách thì sẽ bồi hoàn',2018/04/27,,http://vietnamfinance.vn/agribank-neu-nguyen-nhan-mat-tien-khong-do-loi-cua-khach-thi-se-boi-hoan-20180427070936689.htm
Cựu Chủ tịch OceanBank Hà Văn Thắm bị đề nghị y án chung thân,2018/04/26,,http://vietnamfinance.vn/cuu-chu-tich-oceanbank-ha-van-tham-bi-de-nghi-y-an-chung-than-20180426105934869.htm
"Đại gia Vũ Văn Tiền bất ngờ rời ghế Chủ tịch ABBank, ông Đào Mạnh Kháng kế nhiệm",2018/04/26,,http://vietnamfinance.vn/dai-gia-vu-van-tien-bat-ngo-roi-ghe-chu-tich-abbank-ong-dao-manh-khang-ke-nhiem-20180426081845611.htm
IFC đề xuất cho TPBank vay 100 triệu USD,2018/04/25,,http://vietnamfinance.vn/ifc-de-xuat-cho-tpbank-vay-100-trieu-usd-20180425173544073.htm
Vụ mất 50 tỷ ở Eximbank Nghệ An: Khách hàng không chấp nhận yêu cầu hoãn xử của Eximbank,2018/04/24,,http://vietnamfinance.vn/vu-mat-50-ty-o-eximbank-nghe-an-khach-hang-khong-chap-nhan-yeu-cau-hoan-xu-cua-eximbank-20180424160842001.htm
"Giảm mạnh trích lập dự phòng, Techcombank báo lãi quý I/2018 tăng 94% lên 2.568 tỷ",2018/04/24,,http://vietnamfinance.vn/giam-manh-trich-lap-du-phong-techcombank-bao-lai-quy-i2018-tang-94-len-2568-ty-20180424155144388.htm
"NHNN bơm ròng 20.000 tỷ vào thị trường, đánh dấu tuần thứ 4 bơm ròng liên tiếp",2018/04/24,,http://vietnamfinance.vn/nhnn-bom-rong-20000-ty-vao-thi-truong-danh-dau-tuan-thu-4-bom-rong-lien-tiep-20180424143731131.htm
