title,time,intro,link
Cổ đông HDBank đồng ý ‘kết duyên’ với PGBank,2018/04/21,,http://vietnamfinance.vn/co-dong-hdbank-dong-y-ket-duyen-voi-pgbank-20180421125150305.htm
Công ty con của Coteccons đã nhận khoản đầu tư 650 tỷ đồng từ các quỹ lớn,2018/03/15,,http://vietnamfinance.vn/cong-ty-con-cua-coteccons-da-nhan-khoan-dau-tu-650-ty-dong-tu-cac-quy-lon-20180315085019149.htm
"Pan Farm mua thêm 800.000 cổ phiếu NSC, nâng tỷ lệ sở hữu lên 80,3%",2018/03/15,,http://vietnamfinance.vn/pan-farm-mua-them-800000-co-phieu-nsc-nang-ty-le-so-huu-len-803-20180315153318497.htm
Hơn 20 quỹ đầu tư và nhà đầu tư nước ngoài quan tâm đến kế hoạch tăng vốn của BIDV,2018/04/21,,http://vietnamfinance.vn/hon-20-quy-dau-tu-va-nha-dau-tu-nuoc-ngoai-quan-tam-den-ke-hoach-tang-von-cua-bidv-20180421221012733.htm
"Bán 18 triệu cổ phiếu Masan, quỹ đầu tư Mỹ lãi khoảng 724 tỷ đồng",2018/03/26,,http://vietnamfinance.vn/ban-18-trieu-co-phieu-masan-quy-dau-tu-my-lai-khoang-724-ty-dong-20180326164237553.htm
Nissan và Renault đàm phán việc sáp nhập,2018/03/30,,http://vietnamfinance.vn/nissan-va-renault-dam-phan-viec-sap-nhap-20180330091807875.htm
"SSI bán 2.467.151 cổ phiếu, không còn là cổ đông lớn của Cảng Đồng Nai",2018/04/09,,http://vietnamfinance.vn/ssi-ban-2467151-co-phieu-khong-con-la-co-dong-lon-cua-cang-dong-nai-20180409165943348.htm
‘Ông lớn’ hạ tầng Philippines mua 49% vốn của Công ty Tài nguyên nước Tuấn Lộc,2018/04/03,,http://vietnamfinance.vn/ong-lon-ha-tang-philippines-mua-49-von-cua-cong-ty-tai-nguyen-nuoc-tuan-loc-20180403105448384.htm
"HDBank sáp nhập PGBank: 1 cổ phiếu PGBank hoán đổi lấy 0,621 cổ phiếu HDBank",2018/04/21,,http://vietnamfinance.vn/hdbank-sap-nhap-pgbank-1-co-phieu-pgbank-hoan-doi-lay-0621-co-phieu-hdbank-20180421100424157.htm
"Quỹ Tundra nắm hơn 2,1 triệu cổ phiếu, trở thành cổ đông lớn của TNG",2018/04/13,,http://vietnamfinance.vn/quy-tundra-nam-hon-21-trieu-co-phieu-tro-thanh-co-dong-lon-cua-tng-20180413085449715.htm
"Thế chân Mekong Capital, Creador rót 43,8 triệu USD vào Thế Giới Di Động",2018/02/03,,http://vietnamfinance.vn/the-chan-mekong-capital-creador-rot-438-trieu-usd-vao-the-gioi-di-dong-20180203073613982.htm
Lợi nhuận ThaiBev giảm nhẹ 3% sau thương vụ thâu tóm Sabeco,2018/02/08,,http://vietnamfinance.vn/loi-nhuan-thaibev-giam-nhe-3-sau-thuong-vu-thau-tom-sabeco-20180208181903867.htm
Chiến lược M&A của 'ông vua' ngành hàng tiêu dùng Việt,2018/02/22,,http://vietnamfinance.vn/chien-luoc-ma-cua-ong-vua-nganh-hang-tieu-dung-viet-20180222174722765.htm
"Mua thêm 5,22 triệu cổ phiếu, Dragon Capital là cổ đông lớn thứ 2 của PNJ",2018/02/21,,http://vietnamfinance.vn/mua-them-522-trieu-co-phieu-dragon-capital-la-co-dong-lon-thu-2-cua-pnj-20180221081417338.htm
Báo cáo Bộ Công Thương vụ sáp nhập PGBank vào HDBank,2018/04/24,,http://vietnamfinance.vn/bao-cao-bo-cong-thuong-vu-sap-nhap-pgbank-vao-hdbank-20180424112941072.htm
Đồng USD chưa thể đi lên dù lợi suất trái phiếu kho bạc Mỹ tăng cao kỷ lục,2018/04/20,,http://vietnamfinance.vn/dong-usd-chua-the-di-len-du-loi-suat-trai-phieu-kho-bac-my-tang-cao-ky-luc-20180420104007549.htm
Giá bitcoin hôm nay (24/4): Sàn tiền số ở Nhật Bản sẽ được quản lý như ngân hàng?,2018/04/24,,http://vietnamfinance.vn/gia-bitcoin-hom-nay-244-san-tien-so-o-nhat-ban-se-duoc-quan-ly-nhu-ngan-hang-20180424074048372.htm
"Người giàu nhất thế giới mất 4,5 tỷ USD đêm qua",2018/04/25,,http://vietnamfinance.vn/nguoi-giau-nhat-the-gioi-mat-45-ty-usd-dem-qua-20180425090512959.htm
Lợi suất trái phiếu Mỹ vượt ngưỡng 3% ảnh hưởng thế nào đến thị trường tiền tệ?,2018/04/25,,http://vietnamfinance.vn/loi-suat-trai-phieu-my-vuot-nguong-3-anh-huong-the-nao-den-thi-truong-tien-te-20180425060225434.htm
Bloomberg: Chứng khoán Đông Nam Á có chuỗi giảm điểm dài nhất kể từ tháng 11/2016,2018/04/30,,http://vietnamfinance.vn/bloomberg-chung-khoan-dong-nam-a-co-chuoi-giam-diem-dai-nhat-ke-tu-thang-112016-20180430132335365.htm
‘Cặp đôi hoàn cảnh’ tại Phước Kiển của Quốc Cường Gia Lai,2018/04/20,,http://vietnamfinance.vn/cap-doi-hoan-canh-tai-phuoc-kien-cua-quoc-cuong-gia-lai-20180420121919688.htm
Financial Times: Giá cổ phiếu Việt Nam đã lên cao nhưng thị trường sẽ còn tăng trên diện rộng,2018/04/19,,http://vietnamfinance.vn/financial-times-gia-co-phieu-viet-nam-da-len-cao-nhung-thi-truong-se-con-tang-tren-dien-rong-20180419144907802.htm
"Lình xình tại dự án Phước Kiển, cổ phiếu Quốc Cường Gia Lai ‘rơi tự do’",2018/04/19,,http://vietnamfinance.vn/linh-xinh-tai-du-an-phuoc-kien-co-phieu-quoc-cuong-gia-lai-roi-tu-do-20180419152815682.htm
Nộp vào ngân sách trên 144.577 tỷ đồng từ cổ phần hóa doanh nghiệp nhà nước,2018/04/20,,http://vietnamfinance.vn/nop-vao-ngan-sach-tren-144577-ty-dong-tu-co-phan-hoa-doanh-nghiep-nha-nuoc-20180420171544535.htm
IFC đề xuất cho TPBank vay 100 triệu USD,2018/04/25,,http://vietnamfinance.vn/ifc-de-xuat-cho-tpbank-vay-100-trieu-usd-20180425173544073.htm
Ông Nguyễn Duy Hưng: Chứng khoán đang tốt nhất từ trước đến nay,2018/04/21,,http://vietnamfinance.vn/ong-nguyen-duy-hung-chung-khoan-dang-tot-nhat-tu-truoc-den-nay-20180421071537065.htm
"Đại gia Vũ Văn Tiền bất ngờ rời ghế Chủ tịch ABBank, ông Đào Mạnh Kháng kế nhiệm",2018/04/26,,http://vietnamfinance.vn/dai-gia-vu-van-tien-bat-ngo-roi-ghe-chu-tich-abbank-ong-dao-manh-khang-ke-nhiem-20180426081845611.htm
Vietcombank sắp phát hành riêng lẻ cho 10 nhà đầu tư nước ngoài,2018/04/27,,http://vietnamfinance.vn/vietcombank-sap-phat-hanh-rieng-le-cho-10-nha-dau-tu-nuoc-ngoai-20180427180830281.htm
"Năm 2018, TPBank lên kế hoạch lãi 'khủng' 2.200 tỷ, tăng 82%",2018/04/12,,http://vietnamfinance.vn/nam-2018-tpbank-len-ke-hoach-lai-khung-2200-ty-tang-82-20180412153638884.htm
"MBS tham vọng lợi nhuận năm 2018 gấp 6,6 lần so với 2017",2018/04/20,,http://vietnamfinance.vn/mbs-tham-vong-loi-nhuan-nam-2018-gap-66-lan-so-voi-2017-20180420114336679.htm
"Cổ phiếu FPT Retail tăng kịch trần 20% trong ngày chào sàn, vốn hóa vọt lên 6.000 tỷ",2018/04/26,,http://vietnamfinance.vn/co-phieu-fpt-retail-tang-kich-tran-20-trong-ngay-chao-san-von-hoa-vot-len-6000-ty-20180426105839513.htm
"Đạm Phú Mỹ báo lãi trước thuế 201 tỷ đồng quý I/2018, giảm 27% so với cùng kỳ",2018/04/26,,http://vietnamfinance.vn/dam-phu-my-bao-lai-truoc-thue-201-ty-dong-quy-i2018-giam-27-so-voi-cung-ky-20180426085449282.htm
"Về tay người Thái, Nhựa Bình Minh dè dặt với kế hoạch kinh doanh 2018",2018/04/13,,http://vietnamfinance.vn/ve-tay-nguoi-thai-nhua-binh-minh-de-dat-voi-ke-hoach-kinh-doanh-2018-20180413082231318.htm
"FPT: Tỷ suất lợi nhuận tăng gấp 2,5 lần, quý I/2018 lãi ròng 509 tỷ đồng",2018/04/26,,http://vietnamfinance.vn/fpt-ty-suat-loi-nhuan-tang-gap-25-lan-quy-i2018-lai-rong-509-ty-dong-20180426170216484.htm
TTCK tuần tới: Vn-Index hồi phục lại về vùng điểm 1.200?,2018/04/14,,http://vietnamfinance.vn/ttck-tuan-toi-vn-index-hoi-phuc-lai-ve-vung-diem-1200-20180414234815669.htm
Lo dòng vốn ngoại rút khỏi TTCK Việt Nam vì chiến tranh thương mại,2018/04/16,,http://vietnamfinance.vn/lo-dong-von-ngoai-rut-khoi-ttck-viet-nam-vi-chien-tranh-thuong-mai-20180416171050622.htm
Hai quỹ mở của VCBF đạt lợi nhuận khoảng 6% trong quý I/2018,2018/04/16,,http://vietnamfinance.vn/hai-quy-mo-cua-vcbf-dat-loi-nhuan-khoang-6-trong-quy-i2018-20180416072011454.htm
"Vinhomes thu hút 1,3 tỷ USD từ quỹ đầu tư GIC",2018/04/17,,http://vietnamfinance.vn/vinhomes-thu-hut-13-ty-usd-tu-quy-dau-tu-gic-20180417075541755.htm
"SHB đặt mục tiêu lãi 2.050 tỷ năm 2018, kỳ vọng SHB FC tăng 4 lần giá trị sau 5 năm",2018/04/18,,http://vietnamfinance.vn/shb-dat-muc-tieu-lai-2050-ty-nam-2018-ky-vong-shb-fc-tang-4-lan-gia-tri-sau-5-nam-20180418085357694.htm
2 vụ khiếu nại mất gần 300 tỷ đồng tiền gửi ảnh hưởng thế nào đến Eximbank?,2018/04/18,,http://vietnamfinance.vn/2-vu-khieu-nai-mat-gan-300-ty-dong-tien-gui-anh-huong-the-nao-den-eximbank-2018041814282554.htm
SSI quyết chiếm 18% thị phần môi giới chứng khoán năm 2018,2018/04/21,,http://vietnamfinance.vn/ssi-quyet-chiem-18-thi-phan-moi-gioi-chung-khoan-nam-2018-2018042117032387.htm
"TTCK tuần tới: Thị trường 'cầm máu', Vn-Index sẵn sàng hồi phục",2018/04/22,,http://vietnamfinance.vn/ttck-tuan-toi-thi-truong-cam-mau-vn-index-san-sang-hoi-phuc-20180422002613712.htm
"Lần đầu tiên, một doanh nghiệp niêm yết bán đấu giá cổ phiếu",2018/04/21,,http://vietnamfinance.vn/lan-dau-tien-mot-doanh-nghiep-niem-yet-ban-dau-gia-co-phieu-20180421175139944.htm
"SHB: Lợi nhuận quý I đạt 502 tỷ đồng, sẽ đón sóng đầu tư từ các quỹ nước ngoài",2018/04/23,,http://vietnamfinance.vn/shb-loi-nhuan-quy-i-dat-502-ty-dong-se-don-song-dau-tu-tu-cac-quy-nuoc-ngoai-20180423174853628.htm
‘Doanh nghiệp bảo hiểm mua trái phiếu chính phủ góp phần tái cơ cấu nợ công’,2018/04/24,,http://vietnamfinance.vn/doanh-nghiep-bao-hiem-mua-trai-phieu-chinh-phu-gop-phan-tai-co-cau-no-cong-20180424200633545.htm
Tỷ phú Brazil có duyên với những thương vụ M&A,2018/03/20,,http://vietnamfinance.vn/ty-phu-brazil-co-duyen-voi-nhung-thuong-vu-ma-20180320095231624.htm
