title,time,init,link,paraContainKeyword
Sông Đà 7 rời sàn do thua lỗ liên tiếp nhiều năm,12/04/2018 10:29,"Báo cáo tài chính do công ty tự thực hiện ghi nhận lãi 37 triệu đồng nhưng sau khi kiểm toán, Sông Đà 7 lỗ 17,6 tỷ...",http://vneconomy.vn/song-da-7-roi-san-do-thua-lo-lien-tiep-nhieu-nam-20180411162822602.htm,"Hiện, cổ phiếu SD7 đang giao dịch xung quanh mức giá rẻ như trà đá, 2.700 đồng một cổ phiếu."
Elon Musk có thể thành người giàu nhất thế giới nhờ khoản thưởng từ Tesla,23/03/2018 09:38,"Nếu có thể dẫn dắt hãng xe điện Tesla trở thành công ty có vốn hóa 650 tỷ USD trong 10 năm tới, tỷ phú Elon Musk có thể sẽ trở thành người giàu nhất thế giới...",http://vneconomy.vn/elon-musk-co-the-thanh-nguoi-giau-nhat-the-gioi-nho-khoan-thuong-tu-tesla-20180322135121948.htm," Để tăng vốn hóa gấp 12 lần không nhất thiết phải  tăng giá cổ phiếu 12 lần, Tesla có thể thực hiện các biện pháp như phát hành cổ  phiếu mới dù việc này có thể sẽ làm giảm giá trị cổ phiếu đang lưu thông. Hiện tại, Musk đang nắm giữ số cổ phần trị giá 12 tỷ USD tại  Tesla."
Anh trai của CEO Facebook Việt Nam được bổ nhiệm làm Tổng giám đốc PNJ,23/03/2018 15:12,"Gia nhập PNJ, tháng 4/2017 ông Thông được bầu là Phó chủ tịch Hội đồng quản trị...",http://vneconomy.vn/anh-trai-cua-ceo-facebook-viet-nam-duoc-bo-nhiem-lam-tong-giam-doc-pnj-20180323144239619.htm,"Năm 2017, PNJ đạt tăng trưởng mạnh khi doanh số đạt 10.977 tỷ đồng, tăng 28% so với doanh thu đạt được năm 2016 và cũng là mức doanh thu lớn nhất công ty đạt được kể từ năm 2011 đến nay. Lợi nhuận sau thuế đạt 725,6 tỷ đồng, tăng trưởng 61% so với năm trước đó. EPS đạt 6.712 đồng/cổ phiếu."
"Sau vụ cháy Carina Plaza, Năm Bảy Bảy quyết lãi gấp đôi",04/04/2018 17:06,Vốn hoá của NBB đã bốc hơi trên 700 tỷ đồng kể từ thời điểm xảy ra vụ cháy chung cư Carina Plaza...,http://vneconomy.vn/sau-vu-chay-carina-plaza-nam-bay-bay-quyet-lai-gap-doi-20180404162042167.htm,"Ngoài ra, Hội đồng quản trị của Năm Bảy Bảy cũng trình cổ đông chấp thuận cho Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật (CII) tăng tỷ lệ sở hữu cổ phiếu NBB."
"S&P 500 thoát hiểm, chứng khoán Mỹ hồi phục",04/04/2018 07:51,Kỳ vọng về một mùa báo cáo kết quả kinh doanh khả quan đã đưa S&P 500 lấy lại ngưỡng hỗ trợ quan trọng...,http://vneconomy.vn/sp-500-thoat-hiem-chung-khoan-my-hoi-phuc-20180404065434848.htm,"Kỳ vọng của giới đầu tư về một mùa báo cáo kết quả kinh doanh khả quan đã đưa S&P 500 lấy lại được một ngưỡng hỗ trợ quan trọng, cổ phiếu Amazon cũng hồi phục khi Phố Wall cho rằng Tổng thống Donald Trump sẽ không có sự thay đổi chính sách đối với công ty này."
"Chứng khoán chiều 4/4: VNM ""nai lưng"" cân chỉ số",04/04/2018 16:47,Thị trường đã không thể tiến triển tốt hơn trong phiên chiều mà còn yếu đi. Hàng loạt blue-chip hạ độ cao và trong nhóm trụ chỉ có VNM là đột biến so với phiên sáng...,http://vneconomy.vn/chung-khoan-chieu-4-4-vnm-nai-lung-can-chi-so-20180404164457323.htm,"VNM là cổ phiếu duy nhất bùng nổ chiều nay và bùng nổ mạnh  nhất đúng thời điểm thị trường tụt dốc nhanh nhất. Đó là khoảng 15 phút trước  khi kết thúc đợt khớp lệnh liên tục, VN-Index rơi thẳng xuống 1189,46 điểm, chỉ  cách tham chiếu hơn 1 điểm thì VNM bùng nổ từ 195.500 đồng lên 200.000 đồng và  đóng cửa vẫn chốt được giá này."
Chứng khoán sáng 4/4: Thách thức 1200 điểm,04/04/2018 12:06,VN-Index một lần nữa tiến tới 1200 điểm trước khi tụt nhẹ xuống...,http://vneconomy.vn/chung-khoan-sang-4-4-thach-thuc-1200-diem-20180404120137464.htm,"Nhóm cổ phiếu vốn hóa lớn còn lại khá kém là SAB giảm 1,31%,  VJC giảm 0,89%, NVL giảm 1,56%, PLX giảm 0,6%, MSN giảm 0,09%."
"Tháng 3, giá trị vốn hóa của HNX tăng 1,12% so với tháng trước",04/04/2018 22:06,"Tính đến thời điểm cuối tháng 3 tổng số chứng khoán niêm yết tại HNX là 386 mã cổ phiếu, với tổng khối lượng niêm yết đạt hơn 12 tỷ cổ phiếu...",http://vneconomy.vn/thang-3-gia-tri-von-hoa-cua-hnx-tang-112-so-voi-thang-truoc-20180404160653181.htm,"Như vậy, tính đến thời điểm cuối tháng 3 tổng số chứng khoán niêm yết tại HNX là 386 mã cổ phiếu, với tổng khối lượng niêm yết đạt hơn 12 tỷ cổ phiếu, tương ứng tổng giá trị niêm yết toàn thị trường đạt hơn 120,7 nghìn tỷ đồng."
Vinhomes nộp hồ sơ đăng ký niêm yết trên HOSE,04/04/2018 22:08,"Công ty có vốn điều lệ 26.796 tỷ đồng, tương đương sẽ niêm yết hơn 2,7 tỷ cổ phiếu trên HOSE...",http://vneconomy.vn/vinhomes-nop-ho-so-dang-ky-niem-yet-tren-hose-20180404220442803.htm,"Đây là đơn vị phát triển biệt thự và căn hộ dịch vụ cao cấp tại những thành phố lớn của Tập đoàn Vingroup (VIC). Công ty có vốn điều lệ 26.796 tỷ đồng, tương đương sẽ niêm yết 2.679.611.550 cổ phiếu trên HOSE. "
"Nhận định chứng khoán ngày 5/4: ""Áp lực bán vẫn mạnh""",04/04/2018 21:09,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 5/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-ngay-5-4-ap-luc-ban-van-manh-20180404205828322.htm,"Trong giai đoạn các yếu tố nền tảng cơ bản về kinh tế vĩ mô vẫn đang hỗ trợ cho xu hướng tăng trưởng trong dài hạn, thì danh mục với tỷ trọng cổ phiếu cao vẫn sẽ được chúng tôi khuyến nghị."
