title,time,init,link
Có 67 trạm BOT đang thu phí trên cả nước,18/04/2018 06:28,"Có tổng cộng 67 trạm thu phí BOT đang hoạt động trên cả nước, theo thống kê từ Vụ Đối tác công - tư - Bộ Giao thông Vận tải...",http://vneconomy.vn/co-67-tram-bot-dang-thu-phi-tren-ca-nuoc-20180417221615636.htm
Quảng Bình đồng ý chủ trương để Tập đoàn FLC đầu tư sân bay quốc tế Đồng Hới,17/04/2018 22:19,Sân bay Đồng Hới là một trong những khu vực hoạt động trọng điểm tại miền Trung của hãng hàng không Bamboo Airways - thuộc sở hữu Tập đoàn FLC...,http://vneconomy.vn/quang-binh-dong-y-chu-truong-de-tap-doan-flc-dau-tu-san-bay-quoc-te-dong-hoi-20180417214739198.htm
Khởi tố hai nguyên Chủ tịch UBND Tp.Đà Nẵng,17/04/2018 19:50,Cơ quan Cảnh sát điều tra Bộ Công an ra quyết định khởi tố bị can với hai nguyên Chủ tịch UBND thành phố Đà Nẵng...,http://vneconomy.vn/khoi-to-hai-nguyen-chu-tich-ubnd-tpda-nang-20180417195028151.htm
Samsung và Bộ Công Thương bắt tay đào tạo 200 chuyên gia Việt,17/04/2018 18:37,"Chương trình sẽ góp phần nâng cao năng lực của các doanh nghiệp Việt Nam, thúc đẩy khả năng cạnh tranh và mở ra nhiều cơ hội cho doanh nghiệp Việt...",http://vneconomy.vn/samsung-va-bo-cong-thuong-bat-tay-dao-tao-200-chuyen-gia-viet-20180417183456932.htm
TS. Vũ Đình Ánh: Cần thiết đánh thuế tài sản lên nhà ở!,17/04/2018 17:48,Tiến sĩ Vũ Đình Ánh cho rằng nhà nên và cần là một đối tượng để đánh thuế...,http://vneconomy.vn/ts-vu-dinh-anh-can-thiet-danh-thue-tai-san-len-nha-o-20180417161603952.htm
"Quảng Ninh, từ 4 câu hỏi khó của vị tỷ phú đến kỳ vọng hút nhà đầu tư ""top 500""",17/04/2018 17:38,Phó chủ tịch tỉnh Quảng Ninh nhớ lại 4 câu hỏi khó của vị tỷ phú Mỹ đến khảo sát Vân Đồn 5 năm trước...,http://vneconomy.vn/quang-ninh-tu-4-cau-hoi-kho-cua-vi-ty-phu-den-ky-vong-hut-nha-dau-tu-top-500-20180417173829011.htm
Thủ tướng chưa xem xét đề nghị xây dựng dự án Luật thuế tài sản,17/04/2018 17:13,"Chính phủ, Thủ tướng Chính phủ chưa xem xét, cho ý kiến đối với đề nghị xây dựng dự án Luật thuế tài sản của Bộ Tài chính...",http://vneconomy.vn/thu-tuong-chua-xem-xet-de-nghi-xay-dung-du-an-luat-thue-tai-san-20180417170356761.htm
Bộ Giao thông Vận tải vẫn không muốn dời trạm BOT Cai Lậy,17/04/2018 15:02,Bộ Giao thông Vận tải vẫn muốn giữ nguyên trạm BOT Cai Lậy như hiện tại...,http://vneconomy.vn/bo-giao-thong-van-tai-van-khong-muon-doi-tram-bot-cai-lay-2018041714165278.htm
"Giám sát 2019 của Quốc hội: Quan tâm phòng, chống cháy nổ",17/04/2018 11:47,Lựa chọn của các vị Uỷ viên Uỷ ban Thường vụ Quốc hội về chuyên đề cho giám sát tối cao khá khác nhau...,http://vneconomy.vn/giam-sat-2019-cua-quoc-hoi-quan-tam-phong-chong-chay-no-20180417114526356.htm
Quốc hội tiếp tục cải tiến cách thức chất vấn và trả lời chất vấn,17/04/2018 11:07,Tổng thư ký Nguyễn Hạnh Phúc tha thiết đề nghị cho tiếp tục thí điểm chất vấn và trả lời chất vấn ngay tại kỳ họp Quốc hội ...,http://vneconomy.vn/quoc-hoi-tiep-tuc-cai-tien-cach-thuc-chat-van-va-tra-loi-chat-van-20180417095323466.htm
"Phó thủ tướng yêu cầu xử nghiêm vụ ""thuốc ung thư"" từ bột than tre",17/04/2018 08:39,"""Bất kỳ vụ việc nào liên quan tới những căn bệnh như ung thư, người dân đều rất bức xúc, do đó các cơ quan chức năng phải có trách nhiệm xử lý hết sức nghiêm minh""...",http://vneconomy.vn/pho-thu-tuong-yeu-cau-xu-nghiem-vu-thuoc-ung-thu-tu-bot-than-tre-20180417064854183.htm
Thủ tướng: Phải giảm chi phí logistics,16/04/2018 21:33,"Thủ tướng nêu vấn đề rằng chi phí logistics chiếm tỷ trọng lớn liệu có nhấn con tàu kinh doanh, tính cạnh tranh xuống thấp?...",http://vneconomy.vn/thu-tuong-phai-giam-chi-phi-logistics-20180416185535744.htm
