title,time,init,link
Cổ phiếu Techcombank được đặt giá 128.000 đồng trong đợt IPO,27/04/2018 15:21,"Ngày 26/4/2018, Techcombank đã công bố chào bán thành công 164.076.954 cổ phiếu phổ thông cho các nhà đầu tư tổ chức...",http://vneconomy.vn/co-phieu-techcombank-duoc-dat-gia-128000-dong-trong-dot-ipo-20180427152033368.htm
"Nhân viên Cảng hàng không thu nhập bình quân 23,5 triệu một tháng",23/04/2018 10:28,"Năm 2017, tổng số lượng cán bộ công nhân viên trung bình của ACV là 8.654 người, tiền lương bình quân ở mức 23,5 triệu đồng/người/tháng...",http://vneconomy.vn/nhan-vien-cang-hang-khong-thu-nhap-binh-quan-235-trieu-mot-thang-20180423095510471.htm
Chứng khoán chiều 24/4: VN-Index giữ được sắc xanh nhờ trụ,24/04/2018 17:02,VN30-Index chiều nay đã quay đầu giảm nhưng VN-Index vẫn duy trì được màu xanh...,http://vneconomy.vn/chung-khoan-chieu-24-4-vn-index-giu-duoc-sac-xanh-nho-tru-20180424164444733.htm
“Vốn hóa TPBank sẽ tăng lên ít nhất 1 tỷ USD sau niêm yết”,04/04/2018 12:03,TPBank dự kiến bán 15% cổ phần cho các nhà đầu tư thông qua phát hành cổ phiếu riêng lẻ và chi trả cổ tức cùng cổ phiếu thưởng với tỉ lệ 28% trong ba tháng cuối năm...,http://vneconomy.vn/von-hoa-tpbank-se-tang-len-it-nhat-1-ty-usd-sau-niem-yet-201804040814305.htm
Nữ tỷ phú Alibaba được điều về lãnh đạo Lazada là ai?,31/03/2018 07:07,"Xuất thân là giáo viên, bà Peng từng giữ vị trí được trả lương 500 Nhân dân tệ một tháng trước khi lên hàng ngũ lãnh đạo Alibaba và trở thành tỷ phú...",http://vneconomy.vn/nu-ty-phu-alibaba-duoc-dieu-ve-lanh-dao-lazada-la-ai-20180330110923173.htm
"Nhận định chứng khoán ngày 19/4: ""Sẽ giảm khi thanh khoản chưa có dấu hiệu hồi phục""",18/04/2018 22:05,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 19/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-ngay-19-4-se-giam-khi-thanh-khoan-chua-co-dau-hieu-hoi-phuc-2018041820145184.htm
"Cổ phiếu tăng mạnh, trùm sòng bạc Macau ""bỏ túi"" 12 tỷ USD",29/03/2018 18:08,"Tỷ phú Che-Woo Lui hiện là người giàu thứ 3 tại Hồng Kông và giàu thứ 12 châu Á với tài sản 18,2 tỷ USD...",http://vneconomy.vn/co-phieu-tang-manh-trum-song-bac-macau-bo-tui-12-ty-usd-20180329111844494.htm
Startup được định giá hơn 200 triệu USD nhờ buôn đồ xa xỉ đã qua sử dụng,30/03/2018 15:56,"Năm ngoái, công ty này đạt lợi nhuận gần 11 triệu USD trên tổng doanh thu hơn 210 triệu USD. ...",http://vneconomy.vn/startup-duoc-dinh-gia-hon-200-trieu-usd-nho-buon-do-xa-xi-da-qua-su-dung-20180329102600448.htm
Doanh nghiệp Hàn Quốc quan tâm đến cơ hội đầu tư tại Việt Nam,19/04/2018 10:06,Hàn Quốc đã và đang là nhà đầu tư lớn nhất tại Việt Nam với tổng số vốn đầu tư trực tiếp đạt 59 tỷ USD...,http://vneconomy.vn/doanh-nghiep-han-quoc-quan-tam-den-co-hoi-dau-tu-tai-viet-nam-20180419094406823.htm
“Cứu sống một doanh nghiệp có khi còn tốt hơn tạo ra một doanh nghiệp mới”,05/04/2018 16:36,"Khi tái cấu trúc một doanh nghiệp ""xác sống"", cần cơ cấu cả về tài chính và con người mới có thể thành công...",http://vneconomy.vn/cuu-song-mot-doanh-nghiep-co-khi-con-tot-hon-tao-ra-mot-doanh-nghiep-moi-20180405162757469.htm
