Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"NBK","NATIONAL BANK OF KUWAIT S.A.K.","Equity","5.34","2.41","13,791,260.00","33,212,164.34","33,212,164.34","Financials","6889526","KW0EQ0100010","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"VNM","VIET NAM DAIRY PRODUCTS","Equity","5.26","7.38","4,433,990.00","32,703,060.85","32,703,060.85","Consumer Staples","B16GLK5","VN000000VNM8","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"KFH","KUWAIT FINANCE HOUSE","Equity","3.75","1.66","14,088,854.00","23,349,374.31","23,349,374.31","Financials","6503138","KW0EQ0100085","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"VIC","VINGROUP JOINT STOCK COMPANY","Equity","3.44","4.57","4,688,940.00","21,429,390.38","21,429,390.38","Real Estate","B27Y417","VN000000VIC9","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"SCOM","SAFARICOM","Equity","3.41","0.29","74,034,967.00","21,236,538.51","21,236,538.51","Telecommunications","B2QN3J6","KE1000001402","Nairobi Stock Exchange","Kenya","USD","KES","101.10"
"GGAL","GRUPO FINANCIERO GALICIA ADR REPTG","Equity","3.28","43.49","468,800.00","20,388,112.00","20,388,112.00","Financials","2613570","US3999091008","NASDAQ","Argentina","USD","USD","1.00"
"IAM","ITISSALAT AL MAGHRIB STE SA","Equity","2.81","15.69","1,113,274.00","17,468,561.33","17,468,561.33","Telecommunications","B04SJM4","MA0000011488","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"BMA","BANCO MACRO ADR REPRESENTING TEN S","Equity","2.70","80.15","209,714.00","16,808,577.10","16,808,577.10","Financials","B0Y62M9","US05961W1053","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"AUB","AHLI UNITED BANK B.S.C.","Equity","2.60","0.56","28,820,938.00","16,207,606.55","16,207,606.55","Financials","B17M2Q5","BH0005508765","Kuwait Stock Exchange","Bahrain","USD","KWD","0.30"
"YPF","YPF SOCIEDAD ANONIMA ADR EACH REPR","Equity","2.47","19.13","804,290.00","15,386,067.70","15,386,067.70","Energy","2985945","US9842451000","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"PAM","PAMPA ENERGIA ADR REPSG SA","Equity","2.41","52.41","286,210.00","15,000,266.10","15,000,266.10","Utilities","B41HK52","US6976602077","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"ZAIN","MOBILE TELECOMMUNICATIONS CO. (MTC","Equity","2.19","1.26","10,835,099.00","13,655,880.65","13,655,880.65","Telecommunications","6600084","KW0EQ0601058","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"ATW","ATTIJARIWAFA BANK SA","Equity","2.01","50.37","248,569.00","12,519,921.54","12,519,921.54","Financials","6088334","MA0000011926","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"TLV","BANCA TRANSILVAN SA","Equity","1.86","0.61","19,080,834.00","11,573,806.79","11,573,806.79","Financials","5393307","ROTLVAACNOR1","Spot Regulated Market - Bvb","Romania","USD","RON","3.95"
"TEO","TELECOM ARGENTINA ADR REPRESENTING","Equity","1.81","22.58","499,051.00","11,268,571.58","11,268,571.58","Telecommunications","2878829","US8792732096","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"GTB","GUARANTY TRUST BANK PLC","Equity","1.72","0.12","90,005,629.00","10,715,551.94","10,715,551.94","Financials","6226059","NGGUARANTY06","Nigerian Stock Exchange","Nigeria","USD","NGN","359.50"
"MSN","MASAN GROUP CORP","Equity","1.70","3.71","2,846,250.00","10,558,790.28","10,558,790.28","Consumer Staples","B59R0P1","VN000000MSN4","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"SQURPHARMA","SQUARE PHARMACEUTICALS LTD","Equity","1.66","3.49","2,957,515.00","10,315,433.49","10,315,433.49","Health Care","6833802","BD0473SQPH00","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"AGLTY","THE PUBLIC WAREHOUSING (AGILITY) C","Equity","1.51","2.46","3,814,853.00","9,388,854.22","9,388,854.22","Industrials","6890302","KW0EQ0601041","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
